Time (s),Thrust (lbf),Chamber (°C),Chamber (psi),Feedline (psi),Injector (psi),Ox Tank (psi)
0.49,-103.6434,25.77665,1.70768,656.47984,668.28929,664.44732
0.49333,-94.53591,25.46051,0.21795,656.98172,666.78379,667.79281
0.49667,-93.23491,25.27082,0.88006,656.31257,665.7801,666.62191
0.5,-94.53591,25.77665,1.2111,657.14899,666.95106,665.28367
0.50333,-97.13791,25.46051,0.54901,655.64348,667.11833,666.28737
0.50667,-107.5464,25.77665,1.70768,656.47984,665.11101,665.28367
0.51,-93.23491,25.52373,1.04558,658.82177,666.28197,665.95276
0.51333,-102.3424,25.65019,0.21795,654.9744,666.78379,666.78918
0.51667,-94.53591,25.90311,1.54216,657.48353,665.27828,665.61822
0.52,-101.0414,25.83988,1.70768,658.48716,666.95106,665.78549
0.52333,-114.0514,25.46051,0.05243,656.31257,667.2856,665.78549
0.52667,-98.4394,25.96633,0.88006,656.31257,665.44555,665.1164
0.53,-95.83691,25.83988,0.71453,659.99267,667.62014,667.62554
0.53333,-107.5464,25.39728,-0.94072,655.30894,667.2856,666.28737
0.53667,-94.53591,25.90311,1.54216,657.14899,666.28197,665.61822
0.54,-99.7404,25.77665,1.37664,657.81808,667.78742,667.45827
0.54333,-103.6434,25.83988,0.54901,655.30894,665.11101,665.1164
0.54667,-102.3424,25.83988,3.36292,656.98172,666.95106,665.78549
0.55,-102.3424,25.96633,0.71453,657.81808,667.2856,666.45464
0.55333,-101.0414,26.15604,1.54216,656.98172,665.27828,664.78186
0.55667,-104.9444,25.77665,1.37664,656.47984,667.45287,665.95276
0.56,-104.9444,25.65019,0.38349,654.80713,666.78379,666.62191
0.56333,-102.3424,25.65019,2.20425,656.31257,665.27828,664.61459
0.56667,-94.53591,25.90311,1.04558,658.15262,666.61652,665.78549
0.57,-104.9444,25.83988,-1.27176,657.14899,666.95106,666.78918
0.57333,-101.0414,26.02959,0.38349,655.64348,665.94737,665.78549
0.57667,-102.3424,25.83988,1.70768,657.81808,666.95106,665.28367
