Time (sec),Time Since Ignition (sec),LC1 Axial Load (lbf),PT1 Combustion Pressure (psi),PT2 Feedline Pressure (psi),PT3 Injector Pressure (psi),PT4 Ox-Tank Pressure (psi)
7910.79,0.79,-75.02042,0.71453,740.78711,744.40001,741.8962
7910.79333,0.79333,-69.81642,0.71453,742.12535,744.40001,744.73994
7910.79667,0.79667,-73.71942,0.88006,741.12172,743.06177,742.06354
7910.8,0.8,-68.51542,1.37664,742.62716,744.90182,742.56535
7910.80333,0.80333,-75.02042,0.71453,741.7908,743.56359,743.73625
7910.80667,0.80667,-71.11742,0.54901,744.13267,743.89813,742.56535
7910.81,0.81,-73.71942,0.54901,741.7908,745.23637,742.56535
7910.81333,0.81333,-64.61242,1.37664,742.45989,742.55996,743.73625
7910.81667,0.81667,-67.21442,0.21795,742.62716,744.73455,743.56898
7910.82,0.82,-76.32142,0.38349,742.29262,743.89813,742.06354
7910.82333,0.82333,-75.02042,2.20425,743.46358,744.56728,743.06717
7910.82667,0.82667,-67.21442,-0.60966,742.45989,744.56728,743.56898
7910.83,0.83,-76.32142,0.38349,741.62353,745.40364,742.56535
7910.83333,0.83333,-76.32142,0.71453,743.12904,744.56728,744.73994
7910.83667,0.83667,-75.02042,-0.11309,741.45626,744.06547,744.07086
7910.84,0.84,-72.41842,0.88006,741.7908,743.73086,742.06354
7910.84333,0.84333,-72.41842,0.71453,742.29262,744.73455,744.4054
7910.84667,0.84667,-60.70893,0.21795,742.45989,743.89813,741.8962
7910.85,0.85,-73.71942,0.38349,741.62353,745.73818,743.40171
7910.85333,0.85333,-73.71942,0.88006,741.62353,742.8945,743.90352
7910.85667,0.85667,-71.11742,0.38349,742.62716,744.56728,744.73994
7910.86,0.86,-72.41842,-0.44414,742.29262,743.22905,742.56535
7910.86333,0.86333,-69.81642,2.86635,743.29631,743.73086,742.73262
7910.86667,0.86667,-73.71942,-0.11309,743.12904,744.40001,744.07086
7910.87,0.87,-65.91342,-0.44414,742.9617,744.56728,742.06354
7910.87333,0.87333,-73.71942,0.21795,742.12535,746.90914,744.23813
7910.87667,0.87667,-69.81642,0.54901,741.62353,743.89813,743.06717
7910.88,0.88,-80.22442,0.71453,741.95807,744.56728,743.06717
7910.88333,0.88333,-84.12791,0.71453,742.12535,744.06547,743.73625
7910.88667,0.88667,-69.81642,-0.94072,744.63448,744.23274,743.40171
7910.89,0.89,-82.82691,-1.10624,740.95445,745.23637,743.73625
7910.89333,0.89333,-84.12791,0.54901,742.79443,743.73086,744.23813
7910.89667,0.89667,-75.02042,0.54901,742.79443,745.23637,744.4054
7910.9,0.9,-71.11742,-0.27861,741.28899,743.89813,742.73262
7910.90333,0.90333,-75.02042,2.86635,742.62716,744.90182,743.56898
7910.90667,0.90667,-63.31093,0.21795,741.45626,743.39632,743.06717
7910.91,0.91,-73.71942,0.71453,741.62353,745.23637,742.56535
7910.91333,0.91333,-69.81642,-0.27861,741.95807,743.39632,745.07449
7910.91667,0.91667,-71.11742,0.88006,743.29631,745.23637,743.90352
7910.92,0.92,-71.11742,0.54901,741.62353,744.06547,742.8999
7910.92333,0.92333,-71.11742,1.87321,743.29631,744.56728,742.39808
7910.92667,0.92667,-58.10692,-0.94072,742.12535,744.56728,743.56898
7910.93,0.93,-73.71942,0.54901,742.12535,744.90182,743.23444
7910.93333,0.93333,-76.32142,-0.60966,742.45989,744.06547,745.07449
7910.93667,0.93667,-78.92342,0.54901,742.12535,744.06547,742.39808
7910.94,0.94,-72.41842,-0.94072,741.95807,744.56728,744.4054
7910.94333,0.94333,-77.62242,1.54216,743.12904,743.56359,743.23444
7910.94667,0.94667,-65.91342,-0.77518,742.79443,745.23637,744.4054
7910.95,0.95,-73.71942,-0.11309,741.12172,743.22905,743.40171
7910.95333,0.95333,-75.02042,1.04558,742.45989,743.39632,744.4054
7910.95667,0.95667,-69.81642,0.71453,741.7908,743.22905,742.56535
7910.96,0.96,-75.02042,1.70768,742.79443,743.89813,742.23081
7910.96333,0.96333,-76.32142,0.54901,740.78711,743.22905,743.40171
7910.96667,0.96667,-64.61242,-0.77518,743.63085,745.23637,743.23444
7910.97,0.97,-78.92342,-1.10624,740.61984,744.23274,742.8999
7910.97333,0.97333,-80.22442,0.71453,743.12904,743.89813,744.23813
7910.97667,0.97667,-73.71942,-0.94072,741.45626,744.40001,744.4054
7910.98,0.98,-69.81642,1.2111,742.45989,744.40001,743.23444
7910.98333,0.98333,-82.82691,0.38349,740.95445,743.89813,742.73262
7910.98667,0.98667,-59.40792,0.38349,743.29631,744.73455,743.23444
7910.99,0.99,-76.32142,-0.27861,740.2853,745.0691,743.23444
7910.99333,0.99333,-73.71942,0.88006,742.79443,744.23274,745.5763
7910.99667,0.99667,-69.81642,0.54901,742.45989,743.89813,743.06717
7911,1,-75.02042,-0.60966,741.45626,745.0691,743.90352
7911.00333,1.00333,-73.71942,2.20425,743.12904,744.23274,743.06717
7911.00667,1.00667,-63.31093,-1.76833,742.62716,744.06547,743.23444
7911.01,1.01,-78.92342,-0.27861,742.62716,746.5746,742.8999
7911.01333,1.01333,-80.22442,-0.11309,741.95807,743.56359,743.40171
7911.01667,1.01667,-73.71942,-1.27176,741.7908,744.73455,744.90722
7911.02,1.02,-73.71942,1.2111,742.45989,745.0691,743.73625
7911.02333,1.02333,-71.11742,1.2111,742.12535,744.23274,744.07086
7911.02667,1.02667,-67.21442,0.71453,742.79443,744.06547,742.56535
7911.03,1.03,-76.32142,0.05243,740.61984,744.73455,743.40171
7911.03333,1.03333,-68.51542,1.70768,742.9617,743.06177,744.23813
7911.03667,1.03667,-69.81642,0.05243,742.12535,744.90182,744.07086
7911.04,1.04,-73.71942,0.05243,741.95807,744.56728,742.56535
7911.04333,1.04333,-72.41842,0.71453,743.29631,745.23637,744.23813
7911.04667,1.04667,-56.80592,-0.11309,742.9617,743.89813,741.8962
7911.05,1.05,-76.32142,-0.94072,741.45626,746.24006,743.40171
7911.05333,1.05333,-69.81642,0.05243,742.29262,743.73086,744.07086
7911.05667,1.05667,-78.92342,-0.77518,743.46358,745.40364,744.4054
7911.06,1.06,-78.92342,-0.94072,741.7908,744.06547,742.39808
7911.06333,1.06333,-73.71942,0.05243,742.62716,744.56728,744.57267
7911.06667,1.06667,-69.81642,-0.77518,743.29631,744.06547,742.73262
7911.07,1.07,-71.11742,-0.27861,740.78711,746.24006,743.90352
7911.07333,1.07333,-71.11742,1.70768,741.45626,744.40001,743.06717
7911.07667,1.07667,-71.11742,-0.27861,742.29262,745.57091,744.4054
7911.08,1.08,-71.11742,0.38349,741.7908,743.22905,742.06354
7911.08333,1.08333,-76.32142,0.38349,743.29631,744.56728,744.23813
7911.08667,1.08667,-60.70893,0.38349,743.29631,744.40001,742.39808
7911.09,1.09,-69.81642,-0.60966,741.7908,746.07272,743.23444
7911.09333,1.09333,-72.41842,-0.11309,742.45989,743.22905,743.90352
7911.09667,1.09667,-72.41842,-0.60966,744.46721,744.90182,744.07086
7911.1,1.1,-81.52591,0.05243,742.12535,743.73086,742.56535
7911.10333,1.10333,-80.22442,1.54216,743.12904,745.0691,743.23444
7911.10667,1.10667,-72.41842,-1.93387,742.12535,744.06547,743.06717
7911.11,1.11,-84.12791,0.54901,741.7908,745.40364,743.23444
7911.11333,1.11333,-69.81642,0.21795,741.45626,742.8945,743.90352
7911.11667,1.11667,-72.41842,0.88006,741.7908,744.56728,742.23081
7911.12,1.12,-71.11742,-0.60966,741.62353,743.39632,743.90352
7911.12333,1.12333,-71.11742,1.37664,742.9617,742.72723,742.73262
7911.12667,1.12667,-65.91342,-0.27861,743.46358,744.73455,742.8999
7911.13,1.13,-68.51542,-0.44414,740.78711,744.06547,742.39808
7911.13333,1.13333,-65.91342,0.71453,742.62716,744.06547,743.56898
7911.13667,1.13667,-71.11742,-0.77518,741.7908,743.73086,743.56898
7911.14,1.14,-82.82691,0.54901,742.79443,744.56728,743.06717
7911.14333,1.14333,-82.82691,-0.11309,742.45989,745.0691,743.90352
7911.14667,1.14667,-64.61242,0.05243,742.9617,743.56359,742.56535
7911.15,1.15,-77.62242,-0.77518,740.78711,745.57091,744.57267
7911.15333,1.15333,-72.41842,0.54901,741.62353,742.22542,744.57267
7911.15667,1.15667,-69.81642,1.2111,742.29262,743.56359,743.73625
7911.16,1.16,-77.62242,-0.60966,741.45626,744.40001,744.07086
7911.16333,1.16333,-73.71942,1.87321,742.9617,743.39632,742.73262
7911.16667,1.16667,-65.91342,-0.60966,743.79812,744.90182,743.40171
7911.17,1.17,-72.41842,0.05243,740.61984,745.0691,741.56166
7911.17333,1.17333,-77.62242,0.88006,742.9617,744.73455,745.40903
7911.17667,1.17667,-81.52591,0.21795,741.95807,744.06547,742.23081
7911.18,1.18,-75.02042,0.05243,742.79443,745.73818,744.07086
7911.18333,1.18333,-80.22442,1.87321,742.79443,744.06547,743.40171
7911.18667,1.18667,-72.41842,-1.43729,743.96539,745.23637,744.23813
7911.19,1.19,-81.52591,-0.11309,741.62353,745.40364,742.06354
7911.19333,1.19333,-78.92342,-1.27176,742.79443,744.06547,746.41272
7911.19667,1.19667,-81.52591,0.38349,741.95807,743.56359,741.8962
7911.2,1.2,-69.81642,-0.94072,742.79443,744.56728,743.73625
7911.20333,1.20333,-72.41842,1.37664,741.28899,743.22905,742.56535
7911.20667,1.20667,-65.91342,-1.10624,743.29631,744.90182,744.07086
7911.21,1.21,-65.91342,0.88006,741.62353,744.23274,742.8999
7911.21333,1.21333,-81.52591,-0.94072,742.62716,745.40364,744.57267
7911.21667,1.21667,-81.52591,0.21795,742.29262,744.40001,742.8999
7911.22,1.22,-84.12791,-0.44414,741.62353,745.23637,743.56898
7911.22333,1.22333,-86.72991,-0.44414,743.46358,743.22905,742.8999
7911.22667,1.22667,-86.72991,-0.60966,742.79443,745.73818,743.06717
7911.23,1.23,-86.72991,-0.11309,741.95807,743.89813,742.23081
7911.23333,1.23333,-76.32142,-0.60966,742.45989,745.0691,745.07449
