Time (s),Temperature (F),Speed (ft/s),Mach,Altitude MSL (ft),Acceleration (ft/s^2)
135.83,39.664643,-56.69291339,-0.052,17230.21654,-18.1430452
136.76,39.664643,-63.35301837,-0.058,17172.83465,3.3136484
136.84,39.931988,-63.35301837,-0.058,17172.83465,3.3136484
137.77,39.931988,-57.15223097,-0.052,17097.86745,-3.3136484
138.41,40.096022,-57.15223097,-0.052,17097.86745,-3.3136484
138.78,40.096022,-59.18635171,-0.054,17051.87008,-4.9540684
138.86,40.334234,-59.18635171,-0.054,17051.87008,-4.9540684
139.79,40.334234,-56.66010499,-0.052,16985.07218,-9.9081368
139.87,40.540622,-56.66010499,-0.052,16985.07218,-9.9081368
140.8,40.540622,-51.24671916,-0.047,16927.19816,-11.5485568
140.88,40.705358,-51.24671916,-0.047,16927.19816,-11.5485568
141.81,40.705358,-53.44488189,-0.049,16881.00394,14.8622052
141.89,40.912565,-53.44488189,-0.049,16881.00394,14.8622052
142.82,40.912565,-61.08923885,-0.056,16822.90026,-4.9540684
142.9,41.099765,-61.08923885,-0.056,16822.90026,-4.9540684
143.83,41.406071,-64.14041995,-0.058,16770.40682,-19.7834652
144.84,41.406071,-49.01574803,-0.045,16684.51444,-4.9540684
144.92,41.512424,-49.01574803,-0.045,16684.51444,-4.9540684
145.85,41.512424,-55.34776903,-0.05,16654.6916,-11.5485568
145.93,41.716472,-55.34776903,-0.05,16654.6916,-11.5485568
146.86,41.716472,-68.11023622,-0.062,16597.47375,24.7375336
146.94,41.998325,-68.11023622,-0.062,16597.47375,24.7375336
147.87,41.998325,-59.74409449,-0.054,16518.43832,-14.8622052
148.41,42.203075,-59.74409449,-0.054,16518.43832,-14.8622052
148.88,42.203075,-55.90551181,-0.051,16461.02362,-3.3136484
148.96,42.375065,-55.90551181,-0.051,16461.02362,-3.3136484
149.89,42.375065,-63.32020997,-0.058,16412.79528,-23.0971136
149.97,42.639017,-63.32020997,-0.058,16412.79528,-23.0971136
150.9,42.639017,-57.28346457,-0.052,16338.77953,11.5485568
150.98,42.842597,-57.28346457,-0.052,16338.77953,11.5485568
151.91,42.842597,-50.16404199,-0.046,16281.69291,-18.1430452
151.99,42.997505,-50.16404199,-0.046,16281.69291,-18.1430452
152.92,42.997505,-53.2480315,-0.048,16238.25459,-8.2349084
153.41,43.213253,-53.2480315,-0.048,16238.25459,-8.2349084
153.93,43.213253,-51.18110236,-0.047,16177.75591,4.9540684
154.01,43.388402,-51.18110236,-0.047,16177.75591,4.9540684
154.94,43.388402,-52.82152231,-0.048,16128.64173,11.5485568
155.02,43.561796,-52.82152231,-0.048,16128.64173,11.5485568
155.95,43.561796,-60.46587927,-0.055,16080.01969,-28.051182
156.03,43.805273,-60.46587927,-0.055,16080.01969,-28.051182
156.96,43.805273,-58.49737533,-0.053,16011.74541,-1.64042
157.04,44.009789,-58.49737533,-0.053,16011.74541,-1.64042
157.97,44.009789,-58.16929134,-0.053,15954.39633,-34.6456704
158.41,44.201318,-58.16929134,-0.053,15954.39633,-34.6456704
158.98,44.201318,-62.17191601,-0.056,15900.68898,-19.7834652
159.06,44.456027,-62.17191601,-0.056,15900.68898,-19.7834652
159.99,44.456027,-56.66010499,-0.051,15829.26509,-24.7375336
160.07,44.643578,-56.66010499,-0.051,15829.26509,-24.7375336
161.0,44.643578,-53.37926509,-0.048,15776.67323,9.9081368
161.08,44.833937,-53.37926509,-0.048,15776.67323,9.9081368
162.01,44.833937,-44.22572178,-0.04,15723.29396,-18.1430452
162.09,45.034943,-44.22572178,-0.04,15723.29396,-18.1430452
163.02,45.034943,-42.55249344,-0.039,15666.92913,-14.8622052
163.1,45.069809,-42.55249344,-0.039,15666.92913,-14.8622052
164.03,45.069809,-71.52230971,-0.065,15657.15223,-1.64042
164.11,45.440816,-71.52230971,-0.065,15657.15223,-1.64042
165.04,45.440816,-70.93175853,-0.064,15553.1168,-9.9081368
165.12,45.667562,-70.93175853,-0.064,15553.1168,-9.9081368
166.05,45.667562,-57.21784777,-0.052,15489.53412,-3.3136484
166.13,45.871727,-57.21784777,-0.052,15489.53412,-3.3136484
167.06,45.871727,-56.49606299,-0.051,15432.28346,-6.5944884
167.14,46.061618,-56.49606299,-0.051,15432.28346,-6.5944884
168.07,46.061618,-50.95144357,-0.046,15379.03543,-14.8622052
168.41,46.294799,-50.95144357,-0.046,15379.03543,-14.8622052
169.08,46.294799,-42.48687664,-0.039,15313.64829,-21.4566936
169.16,46.360436,-42.48687664,-0.039,15313.64829,-21.4566936
170.09,46.360436,-59.08792651,-0.054,15295.24278,-21.4566936
170.17,46.628951,-59.08792651,-0.054,15295.24278,-21.4566936
171.1,46.628951,-65.19028871,-0.059,15219.94751,3.3136484
171.18,46.864121,-65.19028871,-0.059,15219.94751,3.3136484
172.11,46.864121,-58.62860892,-0.053,15154.00262,-24.7375336
172.19,47.064542,-58.62860892,-0.053,15154.00262,-24.7375336
173.12,47.064542,-49.63910761,-0.045,15097.80184,13.1889768
173.4,47.275493,-49.63910761,-0.045,15097.80184,13.1889768
174.13,47.275493,-44.75065617,-0.041,15038.64829,-11.5485568
174.21,47.360786,-44.75065617,-0.041,15038.64829,-11.5485568
175.14,47.360786,-58.89107612,-0.053,15014.73097,18.1430452
175.22,47.642171,-58.89107612,-0.053,15014.73097,18.1430452
176.15,47.642171,-62.5,-0.057,14935.82677,-1.64042
176.23,47.825861,-62.5,-0.057,14935.82677,-1.64042
177.16,47.825861,-55.44619423,-0.05,14884.31759,4.9540684
177.24,48.087707,-55.44619423,-0.05,14884.31759,4.9540684
178.17,48.087707,-39.99343832,-0.036,14810.89239,-11.5485568
178.41,48.164576,-39.99343832,-0.036,14810.89239,-11.5485568
179.18,48.164576,-47.40813648,-0.043,14789.33727,-16.5026252
179.26,48.341246,-47.40813648,-0.043,14789.33727,-16.5026252
180.19,48.341246,-65.7808399,-0.06,14739.79659,21.4566936
180.27,48.592679,-65.7808399,-0.06,14739.79659,21.4566936
181.2,48.592679,-66.27296588,-0.06,14669.29134,-4.9540684
181.28,48.857216,-66.27296588,-0.06,14669.29134,-4.9540684
182.21,48.857216,-57.02099738,-0.052,14595.11155,4.9540684
182.29,49.025111,-57.02099738,-0.052,14595.11155,4.9540684
183.22,49.025111,-54.69160105,-0.049,14548.0315,-14.8622052
183.4,49.255133,-54.69160105,-0.049,14548.0315,-14.8622052
